Grade,Review,ItemNm
1,포름알데히드를 제거하는지 잘 모르겠어요 판매처에 전화해도 안받네요..따로 산 측정기로는 수치가 2000넘는데 다이슨을 틀어놓고 전후 비교해도 다이슨은 양호하다고 나오고 수치상 변화가 없어요. 측정기는 2000넘고 위험수준으로 나오거든요..인테리어하고 이사가서 냄새가 너무심하고 아파서 샀는데...다이슨이 정말 voc를 파괴하는지..잘 모르겠네요..연락 부탁드립니다,다이슨 TP09 쿨 포름알데히드 공기청정기
1,한 두푼도 아닌데 검수가 제대로 안되나봐요…? 새상품 비닐 벗기자마자 스크래치 있어버리기.. 교환이 번거롭고 귀찮아서 그냥 씁니다만 스크래치 상품이나 리퍼 상품 싸게 판건가 싶은 기분이네요..,다이슨 TP09 쿨 포름알데히드 공기청정기
1,음 한달도 사용안했는데 고장인것 같아요…,다이슨 TP09 쿨 포름알데히드 공기청정기
1,"아기 있어서 샀는데
틈새 바람 나오는 곳에서 하얀 가루 날려서 나오는거 뭔가요??ㅡㅡ 공기청정이 아니고 이 날리는 이상한 미세 흰 플라스틱 같은것들 나와서
진짜 화났어요 가격도 비싼데
리모컨 인식도 느리고",다이슨 TP09 쿨 포름알데히드 공기청정기
1,"아놔 공식사이트 가격이 99만이네여
더 비싸게 샀네",다이슨 TP09 쿨 포름알데히드 공기청정기
1,타 사이트에 비해 비쌌는데 정품이라는 말에 hmall에 대한 신뢰로 구매했는데 2주만에 20만원 다운된 거 보고 호갱노릇한 게 억울허네요그냥 다른 사이트에서 살걸 그랬어요 ㅠㅠ,다이슨 TP09 쿨 포름알데히드 공기청정기
2,품질이나 배송은 만족하는데 어플가입이 어렵고 호환도 잘 안됨,다이슨 TP09 쿨 포름알데히드 공기청정기
2,달달달 쏴아아 시끄럽습니다 ㅜㅜ바람은 약하고 공기청정은 잘모르겠습니디,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"여러 공청기 중에서 포름알데히드 제거 성능을 강조한 것 때문에 다이슨을 선택. 마침 11번가가 리뷰포인트 2만 증정 행사도 하고 가격 조건이 가장 괜찮아서 구매함.배송은 주문폭주라며 며칠 늦어졌지만 그래도 일주일은 안 걸렸던 거 같음.배송 과정에서 상자가 좀 눌려서 찢어지고 속에 제품 박스는 왜인지 모르겠지만 테이프가 떨어져있어서 반품 재포장 상품인가 하는 의심도 살짝 듦. 포장 뜯고 조립하면서도 아니 왜 이런 흔적이 있지? 싶어서 리퍼 제품을 비싸게 샀나 하는 의심도 들었으나 명확히 따지기 어려울 거 같아서 그냥 쓰기로 함.혼자 조립하기도 많이 어렵지 않았음. 제품등록하는데 숫자 0과 알파벳 O 구분이 잘 안돼있어서 아쉬웠음. 보통 숫자 0에는 가운데 선을 넣어 표시해주는 게 좋을 듯 싶음.필터 장착 후 자동모드하니까 초록 그래프가 뜨길래 4정도로 작동했더니 소음은 어느 정도 있었음. 잠잘 때가 아니면 크게 거슬릴 정도는 아닌듯. 밖에 미세먼지가 나쁜 날이었고, 사실 나와 엄마만 괴롭게 느끼는 거실 특정 구역에서 아랫집인지 옆집인지 어딘가에서 꾸준히 은근하게 올라오는 매캐한 담배냄새 때문에 괴로웠기에 일부러 그 자리에 놓고 작동 시켰는데 실내공기 괜찮다고 초록 그래프가 뜸ㅜㅜ그래서 일부러 가스 버너에 쥐포를 구워봤는데도 ㅠㅠ아버지가 방귀를 뀌어도 별 반응이 없었음ㅠㅠ국내 S사 공청기는 음식을 조리하거나 흡연 후 들어온 사람이 옆에 가면 주황색 경고등 뜨면서 작동을 한다던데, 다이슨은 너무 후하네 싶어짐. 혹시 불량인가 싶었지만 다음날까지 보기로 함. 그런데 날 내 방 창문을 열어뒀었는데 내 방으로 들고 가서 작동시키니까 주황 그래프 뜨면서 우와아아앙하고 공청기 돌아가는 소리가 나길래 아예 불량은 아니구나 싶어서 그냥 쓰기로 함.그러나 내 방 가구들 때문에 포름알데히드가 걱정돼서 다이슨 TP09를 산건데 사실 잘 모르겠음.일부러 내 방 창문과 방문을 하루종일 꼭 닫아놨다가 오후에 다이슨 공청기를 작동시켜 봤는데 그래도 초록 그래프가 뜨고ㅠㅠ작동은 하긴 하는데 금방 조용해짐ㅠㅠ나는 아직 청정하다고 못 느끼겠는데 얘는 공기 깨끗하다고 잠잠해지니까 만한 수준은 아닌듯. 그래도 안 하는 것보다는 낫겠지 싶어서 퇴근 후 오자마자 다이슨 작동시키고 잠자는 동안에도 작동시킴.결론 내 후각과 호흡기가 다이슨 공기청정기 필터보다 민감한 것 같음ㅠㅠ탈취는 취약한 거 같음.. . 다이슨 구매 후 국내 브랜드 ㅁㅍ공청기도 구매해서 자동 비교가 돼버렸는데 예민하기는 국내 브랜드 ㅁㅍ이 더 예민하게 작동함.다이슨은 가운데 구멍 뚫리고 가벼워서 . 위안이 됨.",다이슨 TP09 쿨 포름알데히드 공기청정기
3,"꽃가루때문에 공기청정기 되는것으로 구입했어요
바람세기 선풍기처럼 와 시원해 느낌은 아니고
전체적으로 흩뿌리듯 시원해요
알고 샀지만 역시나 사용시 소리가 커서
사용시 거슬려요
지지며
요",다이슨 TP09 쿨 포름알데히드 공기청정기
3,"이쁜데 소리가 너무 커요
1에서 10까지 인데 1도 소리가 커요
이게 고장인지 원래 이정도 소리인지
3개회사 청정기 써봤는데 다이슨은 소리가 너무 거슬릴장도로 커요
다른제품이 조용해서 몰랐던건지
집들이선물받은거라 좋긴한데 소리가 이정도 인줄 알았으면 안샀을거 같아요",다이슨 TP09 쿨 포름알데히드 공기청정기
3,미세먼지 수치 센서불량으로 사자마자 AS받고 교환진행중. 대여로 임시받은 동일제품도 미세먼지 수치가 1이거나 한자리수일때도 많아서 수치에 믿음은 별로안감. 세기 4부터는 시끄러워서 못틀겠음. 3까지는 소리는 나지만 쓸만은함.,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"외관 흠집, 오염 , 버 절단면 등이 있어
교환했지만 , 비슷하여 그냥 써요.",다이슨 TP09 쿨 포름알데히드 공기청정기
3,공간차지 많이 안하고 디자인은 좋아요! 미세먼지도 잘 잡히네요~ 근데 voc수치는 올라가면 잘 떨어지지가 않아서 정화가 되는건지 모르겠어요!,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"새집으로 이사가는거라 이사전에 주문해서 비교해봤는데... 별다른 감지가 없네요
포름알데히드 수치가 없어서 다행이라 그래야하는건지 이게 감지를 못하는건지 알수가 없네요. 색상은 마음에 들어요!",다이슨 TP09 쿨 포름알데히드 공기청정기
3,소음이 좀 좋아서 그렇지. 조아요,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"공기청정기에서 소음이 자꾸 나네요
계속 나는 건 아니고 간헐적으로 들려요
as를 해야될 것 같아요",다이슨 TP09 쿨 포름알데히드 공기청정기
3,기스가 나있어요 필터끼우는 안쪽이라 그냥 씁니다,다이슨 TP09 쿨 포름알데히드 공기청정기
3,감사합니다 🙏 좋은 제품이길 기대합니다,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"새집증후군 우려로 구입했는데 평상시 냄새제거나 미세먼지,황사에는 효과가 어떤지 모르겠어요.
오토로 설정하니 늘 멈춰있네요 ㅋㅋㅋ",다이슨 TP09 쿨 포름알데히드 공기청정기
3,다좋은데 앱연결이 자주 끊겨서 다시연결해야하는게 넘 불편해요 멀티탭에 연결하면 일주일에 한번씩은 끊기고 벽콘센트에 연결하니까 아직까진 괜찮네요 뭔가 이상함..,다이슨 TP09 쿨 포름알데히드 공기청정기
3,오래 틀어 놓으면 공기가 건조해지긴 하는데 좋긴 하겠죠...,다이슨 TP09 쿨 포름알데히드 공기청정기
3,시끄러워욤..... 모터소리 ㅠㅠ,다이슨 TP09 쿨 포름알데히드 공기청정기
3,소음이 꽤 크내요.,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"배송도 빠른배송입니다
단 박스에 구멍나서 왔지만
제품에는 문제 없어서 그냥 사용합니다
출고전 확인좀해주시지.....
믿고쓰는 다이슨입니다",다이슨 TP09 쿨 포름알데히드 공기청정기
3,생각보다 팬소음이 커서 좀 놀랐지만. 공기청정기능은 좋기를 기대함,다이슨 TP09 쿨 포름알데히드 공기청정기
3,좋은 가격에 잘 구매했습니다. 배송이 느려요!,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"리모델링 한지 2년정도 된집에 살고 있고 voc가 상당히 높아.. 처음부터 창문형 전열교환기를 설치해서 공기를 관리해주고 있습니다. 포름알데히드를 없애준다고 해서 궁금해서 사봤는데 어플에서는 포름알데히드는 0, voc값도 0으로 계속 나옵니다. voc는 어플의 수치를 보면 0으로 표시되지만 그래프의 변동이 있는걸로 봐서는 작은수치도 측정은 되지만 어느정도이상 넘지않으면 0으로 어플에서 표시되는것 같습니다. 참고로 다른측정기 어웨어와 리숨전열교환기에 있는 측정기에서는 voc가 100초중반 ppb가 측정되고 있네요. 포름알데히드는 다른 측정기가 없어서 모르겠지만 계속 0으로 표시되고 있어서 이게맞나? 라는 생각이 들긴합니다.. 그리고 오토로 둘경우 공기수치가 좋을경우 아예 팬이 돌지않는것처럼 어플에서는 팬 off라고 나오지만 바람이 살짝느껴지는걸로 봐서는 정말 약하게 도는것같습니다. 그리고 팬이 돌아가면 소음은 꽤 있습니다. . 몇몇곳의 테스트를 보면.. 포름알데히드를 완벽하게 없애주는것 같진 않지만 어느정도 없애주는거 같긴하더라구요.. (비록 전 확인해보진 않았지만..) 참고로 공기청정기를 계속 돌렸지만 voc에서는 유의미한 변화가 있어보이진 않네요~ 미세먼지 센서는 상당히 민감하게 잘 반응하는거 같습니다.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"꾀나 크네요.집 평수가 작아서
5년된 작은 청정기 쓰다 이사가면 바꿔야지 하다가 못참고 질렀네요. 집에 비해 크긴 커도
키자마자 설정하고 보니
심각 단계에서
금새 정화 되네요
쓰던 귀여운 핫앤쿨 선풍기 넘 미니어쳐같아요
비가와서 박스가 흠뻑 젖어왔디만
속박스안에 잘 포장되있어서 다행이였어요~",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"제품에 스크래치가 있어 교환예정이에요.
새상품 샀는데 기분은 좋진 않네요. 크기도 큰 제품을 교환하려니..

제품 자체는 디자인도 좋고 사이즈도 좋아요.
소음도 이정도면 만족하고 집안 공기가 쾌적해진듯합니다. 고장 없이 오래 사용할수 있음 좋겠어요. 교환과정이 있지만 제품은 만족합니다",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"벼르던 다이슨 라방보고 주문했어요.
색상도 고급지고 디자인도 맘에 들어요
사이즈도 생각보다 작아 좋지만
성능이 좋은거 맞나 의구심이 드네요
맨날 실내공기 맑음.좋음만 나오더라구요.
그다지 안 좋은거 같은데.~~
미세먼지 극성인 봄되면 진가를 알게되겠죠.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"처음으로 공청기를 비싼거를 사봤네요.
에어로타워를 살까 고민하다가 라방종료 3분전에 구입했는데 당첨까지 됐습니다.기분이 좋네요.
다이슨이 우리집 공기를 지켜줬으면 좋겠습니다.
일단 디자인이 갑입니다. 돌쟁이 아가가 있어서 날개없는 선풍기 원했는데 겸사겸사네요.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"오자마자 조립?해서 사용했습니다.
행사해서 그냥공청기보다 저렴해사 이모델로 구매했네요
고기 꾸우니깐 열일 하드라구요..
아직 막 너무좋다까진아닌데 창문열고 생활하는 때가 오면 어떨런지 기대되네요
아 소음은 고기 꾸울때는 열일하느라 쫌 났습니다",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"에너지등급 표시가 없어서 조금 아쉽지만 새집증후군에 효과가 있을까싶어 구매해봅니다.
박스 개봉흔적이 있어서 찝찝했는데 새상품이라고하니 그대로 사용합니다.
인테리어 공사한 집인데 새집증후군 수치가 처음부터 좋음으로 떠서 의심스럽긴하지만 음식을 하면 또 수치가 높아지니 조금 더 지켜봐야할 거 같아요.
제발 효과가 있길 바랍니다.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"침실에 두고 싶었는데 침실에 두면 소음이 제법 크게 들려 거실로 빼두었어요
오토로 설정해두면 조금 시끄럽고 1-2 정도로 해두면 신경 쓰이지 않아요
처음에는 해당 모델에서는 화이트가 없어 너무 아쉬운 마음만 들었는데 보다 보니 골드도 마음에 들어서 만족하고 있어요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"11월11일 주문, 16일 받았어요. 먼저 다이슨홈페이지보다 저렴하면서 필터주는 조건은 똑같아 너무 좋아요.
어디하나 흠집없는 깨끗한 제품왔구요. 제품등록하고 핸드폰연동하니 너무편하네요. 여름엔 써큘레이터처럼 겨울엔 방향바꾸면 바람이 느껴지지않아 신기하네요.사계절 우리집 지킴이♡
디자인은 말해무엇합니까~최고!!
(오토,회전으로 해놨을때 공기가 오토센서기준 좋아지면, 회전,바람멈춤니다.당황하지마셔요 ㅎㅎ)",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"코로나 걸리고 코가 너무 막혀서 구매 햇어요 ㅜㅜ
아직격리중인데 배송도 빠르고 키자마자 열일하고 있네요
앱연동해서 이용하기도 편리하고 오토모드 소음이 조금 심하긴 한데 공기 질이 좋아질수록 작아지네요
세일할때 잘 구매했어요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"한대 사서써보고 디자인이 너무이뻐서 두대 더구매했습니다
두대더사니 되팔렘인줄알고 배송을안해주셨지만 고객센터 연결후 배송받았습니다 개인적으로 돈얼마 남겨먹자고 되파는인간들 극혐
디자인 너무예쁘고 성능도좋네요 지출은컸지만 충분히만족합니다
필터도 추가로주셔서 감사해요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"디자인이쁘고 기능좋아요ㅎ
필터가격이 저렴해지면 좋겠어요!",다이슨 TP09 쿨 포름알데히드 공기청정기
4,빠른 배송 감사 합니다. 성능 좋고 예쁘고 가격만 착했으면 하는 바램입니다. 많이 파세요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,이사갈집이 새집이라 포름알데하이드 걱정되서 99.9를 믿고 구매했어요. 운전시 소음은 좀 있는데 원래 목적에 잘 맞게 열일해주길 ~,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"제품 다 뜯어서 조립하는데 안쪽에 스크래치가 있어서 별하나 뺍니다.
교환할까 하다가 부피가 큰 제품이라 귀찮아서 그냥 씁니다ㅠ 검수 좀 하고 발송해 주세요.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"좋아요!!! 새집증후군이 있을까봐 미리 구매해서 사용했는데, 마음에 드네요~
다만 ㅠ 사고 나서 얼마 안있어서 할인을 하더라는.. 항상 그런 것 같아요~ ㅎㅎ 사고 나면 이벤트 할인! ㅠ 그 사이에 잘 썼으니 그걸로 만족 합니다.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,다른 공기청정기처럼 미세하게 퉁퉁거리는 팬소리가 안나서 좋습니다. 바람소리가 백색소음 같아서 오히려 좋네요 어플도 편해요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,디자인이쁘고 좋네요 단 소음이 생각보다 큽니다,다이슨 TP09 쿨 포름알데히드 공기청정기
4,디자인보고 샀어요. 워낙 가격은 고가지만...생각보다 작아요. 넓은 거실에 두기엔 좀 작은듯합니다. 성능은 잘 모르겠고...명성만큼 기대해봅니다.,다이슨 TP09 쿨 포름알데히드 공기청정기
4,유일한 단점은 소음뿐이에요 야간모드 설정시 소음이 줄어드는데 바로적용은 안되고 시간이 한참 걸려서 별한개 뺐어요. 그외에 모든점은 만족합니다.,다이슨 TP09 쿨 포름알데히드 공기청정기
4,만족합니다 너무 이쁘기도 하고 선풍기.역할도 하니 최고네요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,좋아요 잘쓸게요 유격있지만 교환받기로했습니다,다이슨 TP09 쿨 포름알데히드 공기청정기
4,새집 집뜰이 선물로 구매했습니다 디자인이 맘에 들어 구매했구요 필터가 한개이고 몇평형대에 맞는지가 안나와 있는게 조금 아쉽습니다,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"일단 디자인이 멋있어요^^
국산 제품은 막 ~~수치가 작동하는데 다이슨은 작동하는지 모르겠지만 ㅡ 부피도 작고 다이슨의 명성을 믿어보려고요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,서비스도 좋고 만족하고 사용중입니다. 교체는 한번 받았지만 만족해요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,디자인 만족~ 생각보다 내구성이 약한듯 보여서 불안하긴한데 예뻐요. 모든 공기질이 며칠째 계속 좋음이라 문제가 있는건지 진짜 저희집 공기가 좋은건지 모르겠어요. 요리하거나 해도 그냥 늘 좋음이에요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"아기가 곧 생길거라 큰 맘 먹고 구매했어요~
강아지도 같이 살고 있고하니 집안 공기를 잘 잡아줬으면 하는 바람입니다.
다 좋은데, 역시나 사악한 가격은 어쩔수 없군요 ㅠㅡㅜ",다이슨 TP09 쿨 포름알데히드 공기청정기
4,최근 욕실 수리하고 냄새가 염려되어서 구매했어요 포름알데히드 제거한다고 해서 쓰고 있는데... 잘 제거된다고 믿어야겠죠~^^ 다이슨 제품 가격이 워낙 비싸서... 그래도 필터 추가 있을 때 샀어요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,거추장스럽지않아서좋은것같아요.아직은 좀더사용해봐야알겠지만 새집증후군때문에 구매했는데 잘모르겠어요.포름알데히드제거가되는지는,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"생각보다 오염된 공기에 대해 잘 잡아서 청정해주는 느낌입니다
이번에 이사를 해서 새집 냄새가 있는데 이것도 잘 잡아줄지 모르겠네요~",다이슨 TP09 쿨 포름알데히드 공기청정기
4,새집에 이사와서 걱정되는 마음에 주문했는데 포름알데히드 수치가 정상으로 나와서 작동이 잘되고 있는건지 의문은드네요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"좋아요~ 처음에 좋다고만뜨길래 이상한건가 했는데, 어플 사용하니 디테일하게 확인되어 믿음가요~",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"워낙 유명한 제품이라 믿고씁니다.
할인에 추가필터도 받아서 저렴하게 잘산듯하네요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"어느 공간에 놓아도 잘 어울려요, 깨끗한 공기를 기대하며 구매 만족합니다.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,배송은 엄청 빨라서 좋은데요 박스가 좀 그렇네요 선물할껀데ㅠㅜ아쉬워요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,이쁘고 좋아요~근데 밤에 수면모드도 시끄러워서 자다가 끄고잤어요ㅜㅜ,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"지인 개업선물로 구매 했는데 만족합니다
다만 비싼점이 약간의 흠",다이슨 TP09 쿨 포름알데히드 공기청정기
4,아직 처음이라 잘 모르겠지만 좋은거같습니다.잘 쓸게요~,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"선물로.사줬는데
특급빠른배송과 마음에 들어해요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,의외로 소음이있어요 거실에서쓰려구요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,배송이 빠르고 좋아요 잘받았습니다,다이슨 TP09 쿨 포름알데히드 공기청정기
4,사용해봐야겠알겠지만 만족합니다~,다이슨 TP09 쿨 포름알데히드 공기청정기
4,크기도 적당하고 작동도 잘 됩니다.,다이슨 TP09 쿨 포름알데히드 공기청정기
4,다이슨이라서 믿고 구매했어요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,소음이 좀 심해요ㅠ,다이슨 TP09 쿨 포름알데히드 공기청정기
4,디자인이 마음에 들고 잘 작동합니다. 다만 조금 시끄럽습니다,다이슨 TP09 쿨 포름알데히드 공기청정기
4,생각보다 조용하고 디자인이 예뻐요. 배송도 빠르고 좋았어요.,다이슨 TP09 쿨 포름알데히드 공기청정기
4,우선 디자인 이 참 좋아요. 아직 그렇다할 만한 성능을 모르겠구요.. 움~~디테일함은 정말 좋아요,다이슨 TP09 쿨 포름알데히드 공기청정기
4,엄청 사고싶었는데 니켈이랑화이트랑 고민하다 니켈품절이라 그냥 화이트로 주문했어요..틀자마나 난리나더니 30분쯤지나니까 조용해지내요^^;; 기존에있던 우리집공기청정기는 아무반응 없었는데 뭐가 맞은건지..^^;;,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"잘받아서 설치완료
더써봐야알겠지만 폰으로연동해서
편리하네요",다이슨 TP09 쿨 포름알데히드 공기청정기
4,좋은데 안방에 놓고자몀 왜 공기가 더워지는거 같죠? 거참나 ..,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"배송은 빠르게왔는데..
긁히는 기계음이 들렸다말았다 하네요.,",다이슨 TP09 쿨 포름알데히드 공기청정기
4,효과잇는지 잘 모르겠지만 만족해용 잘쓰는중,다이슨 TP09 쿨 포름알데히드 공기청정기
4,아직 사용해보진 않아서..잘받았습니다~,다이슨 TP09 쿨 포름알데히드 공기청정기
4,깔끔하고 새집증후군 효과있을듯?,다이슨 TP09 쿨 포름알데히드 공기청정기
4,생각보단아쉽지만역시다이슨,다이슨 TP09 쿨 포름알데히드 공기청정기
4,가격빼곤 좋습니다^^,다이슨 TP09 쿨 포름알데히드 공기청정기
4,배송 : 보통 / 제품 : 좋음,다이슨 TP09 쿨 포름알데히드 공기청정기
4,"주문후 3일차에 받았어요. 집이 화이트톤인데 실버원했지만, 새집이라. .프롬알데히드 정화기능이 있대서 본 디자인을 선택했어요. 디자인 만족합니다. 정품등록후 앱으로 편리하게 사용하고자해요.",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"이쁘네요.
너무 크지 않아 공간도 많이 차지 않아서 좋아요..",다이슨 TP09 쿨 포름알데히드 공기청정기
4,"역시 다이슨이네요
디자인도 이쁘고
갖고 싶었던 다이슨
너무좋아요",다이슨 TP09 쿨 포름알데히드 공기청정기
